r,s,n,N,NB,MST,MLB,HEFT,AUT,AUT PTI
32,1,35,5,128,1296.98303999998,727.956479999992,1012.45627199999,999.30130399999,56.0848648332945
32,4,35,5,128,1296.98303999998,727.956479999992,1073.24855199999,1073.24855199999,24.7277578970146
32,1,220,10,128,5625.08287999993,1531.88863999998,2334.59724799998,2269.94743199998,86.7670691136236
32,4,220,10,128,5625.08287999993,1531.88863999998,2345.07010399998,2255.44754399998,46.9079125347754
32,1,680,15,128,14398.9555199998,2335.82079999997,3570.35544799997,3553.76201599996,90.7454547350677
32,4,680,15,128,14398.9555199998,2335.82079999997,3527.26909599997,3513.90898399996,55.7688222846813
32,1,1540,20,128,29033.2569599994,3139.75295999996,5778.93361599997,5815.40716799996,88.3036142328799
32,4,1540,20,128,29033.2569599994,3139.75295999996,4808.95384799996,5074.156592,62.346916533259
32,1,2925,25,128,50942.6431999991,3943.68511999995,8929.04935999999,8958.471344,83.5591630592241
32,4,2925,25,128,50942.6431999991,3943.68511999995,6971.11698399997,7380.79832799993,63.5972633293994
32,1,4960,30,128,81541.770240001,4747.61727999994,13394.0941759999,13812.619288,81.2905106903113
32,4,4960,30,128,81541.770240001,4747.61727999994,10110.114384,10386.000584,60.4117366582932
32,1,7770,35,128,122245.294080012,5551.54943999993,19961.0409519995,20870.4291199998,75.7582447772517
32,4,7770,35,128,122245.294080012,5551.54943999993,13813.031528,14346.8248559999,57.7085584393165
32,1,11480,40,128,174467.870720034,6355.48159999992,28555.8170159991,29197.3834079995,75.0973107399549
32,4,11480,40,128,174467.870720034,6355.48159999992,19468.4971999996,19694.9397039997,54.8435533612096
32,1,16215,45,128,239624.156160062,7261.33806545644,38831.0998799985,39702.2523519998,74.0502358519565
32,4,16215,45,128,239624.156160062,7159.41375999992,25918.7629679993,26226.7996879993,55.4447430886001
32,1,22100,50,128,319128.806400109,9670.5698909124,51758.7917199979,52727.6490959997,74.9197949938889
32,4,22100,50,128,319128.806400109,8864.68906666969,34125.9898959988,34466.6568879988,52.464643562687
32,1,35,5,1024,23743.28876,11265.669048,23743.28876,23743.28876,52.6369526689289
32,4,35,5,1024,23743.28876,11265.669048,20777.941408,19185.356792,27.424440950553
32,1,220,10,1024,125515.55272,23866.973008,117035.20908,117142.676656,27.9119437421675
32,4,220,10,1024,125515.55272,23866.973008,53338.832592,48746.3634080001,30.1428604441439
32,1,680,15,1024,361114.419880001,36468.2769679999,302103.057512001,302429.753912,37.2681060913209
32,4,680,15,1024,361114.419880001,36468.2769679999,107158.36444,110785.801504,37.463959324879
32,1,1540,20,1024,786337.518239997,49069.5809279999,627465.400407999,630721.962736,41.4158668848492
32,4,1540,20,1024,786337.518239997,49069.5809279999,206909.353848,211871.408,44.1935164164939
32,1,2925,25,1024,1456982.4758,61670.8848879999,1050589.678768,1077236.574608,45.217842418605
32,4,2925,25,1024,1456982.4758,61670.8848879999,364185.268024002,366714.330312001,51.4473373742306
32,1,4960,30,1024,2428846.92056011,74272.1888479999,1708563.32249601,1871813.44975201,49.0653267031271
32,4,4960,30,1024,2428846.92056011,74272.1888479999,589673.629520001,597350.011912001,58.2901570404302
32,1,7770,35,1024,3757728.48052065,113870.560015777,2616836.24624019,2768134.30124818,50.3423431398321
32,4,7770,35,1024,3757728.48052065,104381.346681129,895192.319279998,912473.921303998,60.3318128240446
32,1,11480,40,1024,5499424.78368142,166649.235869134,3807331.7953928,3994365.22680021,52.4607740094086
32,4,11480,40,1024,5499424.78368142,152761.799546706,1281817.513216,1330088.808992,63.4687675416246
32,1,16215,45,1024,7709733.45804242,233628.286607346,5364823.0930256,5613029.0688563,53.5873375894163
32,4,16215,45,1024,7709733.45804242,214159.262723401,1755768.95604001,1840345.53423201,66.8467189377929
32,1,22100,50,1024,10444452.1316002,316498.549442429,7286400.81158659,7617589.24973672,55.7167191895367
32,4,22100,50,1024,10444452.1316002,290123.670322226,2374362.79724009,2505839.28168017,67.7064778906622
