n,nt,nb,s,normal,gamma,uniform
35,5,128,1,9,10,6
35,5,128,4,4,4,1
35,5,1024,1,1,1,1
35,5,1024,4,2,2,1
220,10,128,1,92,107,51
220,10,128,4,394,427,268
220,10,1024,1,7,6,5
220,10,1024,4,171,174,114
680,15,128,1,1313,1489,960
680,15,128,4,10017,10959,8217
680,15,1024,1,67,69,50
680,15,1024,4,1252,1263,953
1540,20,128,1,19452,21140,17860
1540,20,128,4,54697,57323,48244
1540,20,1024,1,269,267,240
1540,20,1024,4,1448,1419,1118
2925,25,128,1,86475,87114,85988
2925,25,128,4,96405,96931,95561
2925,25,1024,1,943,979,894
2925,25,1024,4,357,376,286
4960,30,128,1,91839,92730,91421
4960,30,128,4,99653,99765,99502
4960,30,1024,1,1771,1800,1646
4960,30,1024,4,8642,8745,8245
7770,35,128,1,94318,94946,94302
7770,35,128,4,99953,99977,99953
7770,35,1024,1,1131,1141,978
7770,35,1024,4,17725,17968,16982
11480,40,128,1,89886,90542,89468
11480,40,128,4,100000,99999,100000
11480,40,1024,1,6808,7061,6303
11480,40,1024,4,20367,20615,20288
16215,45,128,1,88399,89334,88181
16215,45,128,4,99999,100000,99999
16215,45,1024,1,2538,2635,2381
16215,45,1024,4,93740,93752,93984
22100,50,128,1,92720,93217,92176
22100,50,128,4,99999,100000,100000
22100,50,1024,1,4266,4434,3975
22100,50,1024,4,90881,91072,91093
